origin_country_iso_code,destination_country_iso_code,scaling_factor
NLD,ISR,0.20588235294117646
NLD,ITA,0.02383939774153074
NLD,JPN,0.46875
NLD,LVA,0.11764705882352941
NLD,MLT,1
NLD,MAR,0.36363636363636365
NLD,NOR,0.11627906976744186
NLD,PRT,0.08908045977011494
NLD,QAT,0.5370370370370371
NLD,ROU,0.026845637583892617
NLD,RUS,0.1328125
NLD,SAU,0.6875
NLD,SGP,1
NLD,ZAF,0.2972972972972973
NLD,KOR,1
NLD,ESP,0.03501945525291829
NLD,SWE,0.26515151515151514
NLD,CHE,0.27380952380952384
NLD,TUR,0.5
NLD,UKR,0.35714285714285715
NLD,ARE,0.8303571428571429
NLD,GBR,0.05120967741935484
NLD,USA,0.3993095512082854
NZL,ARG,0.3333333333333333
NZL,AUS,0.026521060842433698
NZL,CAN,0.5789473684210527
NZL,CHN,1
NZL,HKG,1
NZL,SGP,1
NZL,KOR,0.05555555555555555
NZL,USA,0.7684210526315789
NOR,HRV,0.09090909090909091
NOR,DNK,0.06965174129353234
NOR,EST,0.13513513513513514
NOR,DEU,0.08759124087591241
NOR,GRC,0.01694915254237288
NOR,ISR,1
NOR,LVA,0.013157894736842105
NOR,NLD,0.07228915662650602
NOR,QAT,0.4
NOR,ESP,0.06535947712418301
NOR,SWE,0.10105263157894737
NOR,ARE,0.10526315789473684
NOR,GBR,0.0056179775280898875
NOR,USA,0.04878048780487805
PHL,BRN,0.23529411764705882
PHL,CAN,0.0392156862745098
PHL,HKG,0.2631578947368421
PHL,JPN,0.10869565217391304
PHL,MAC,0.041666666666666664
PHL,MYS,0.03418803418803419
PHL,QAT,0.016
PHL,SAU,0.025974025974025976
PHL,SGP,1
PHL,KOR,0.15217391304347827
PHL,TWN,0.384
PHL,THA,0.008368200836820083
PHL,ARE,0.16233766233766234
PHL,USA,0.23622047244094488
POL,DEU,0.007782101167315175
POL,ITA,0.005847953216374269
POL,NLD,0.007751937984496124
POL,NOR,0.011627906976744186
POL,RUS,0.007142857142857143
POL,USA,0.17796610169491525
PRT,BEL,0.017094017094017096
PRT,BRA,0.03614457831325301
PRT,FRA,0.04178674351585014
PRT,DEU,0.05865921787709497
PRT,LUX,0.043859649122807015
PRT,NLD,0.057692307692307696
PRT,RUS,0.03636363636363636
PRT,ESP,0.005681818181818182
PRT,CHE,0.23943661971830985
PRT,ARE,0.021739130434782608
PRT,GBR,0.03304692663582287
PRT,USA,0.0425531914893617
QAT,BEL,0.15
QAT,CAN,0.16666666666666666
QAT,CHN,1
QAT,FIN,0.6923076923076923
QAT,FRA,0.9076923076923077
QAT,DEU,1
QAT,HKG,0.8217821782178217
QAT,HUN,0.034482758620689655
QAT,IND,0.03582089552238806
QAT,ITA,0.16326530612244897
QAT,JPN,0.48
QAT,KAZ,1
QAT,LUX,0.2391304347826087
QAT,NLD,1
QAT,NOR,0.3684210526315789
QAT,PHL,0.015873015873015872
QAT,POL,0.022727272727272728
QAT,SGP,0.42105263157894735
QAT,KOR,0.6904761904761905
QAT,ESP,0.08695652173913043
QAT,SWE,0.21686746987951808
QAT,CHE,1
QAT,THA,0.07228915662650602
QAT,GBR,0.35714285714285715
QAT,USA,0.17028985507246377
ROU,BEL,0.015873015873015872
ROU,DNK,1
ROU,FRA,0.022026431718061675
ROU,DEU,0.09090909090909091
ROU,ITA,0.0045662100456621
ROU,NLD,0.024
ROU,ESP,0.012345679012345678
ROU,USA,0.6
RUS,AUT,0.055776892430278883
RUS,BEL,0.15625
RUS,HRV,0.027777777777777776
RUS,FRA,0.02188183807439825
RUS,DEU,0.09121621621621621
RUS,HKG,0.4883720930232558
RUS,HUN,0.021739130434782608
RUS,IND,0.016666666666666666
RUS,ISR,0.022222222222222223
RUS,ITA,0.02491103202846975
RUS,JPN,0.42857142857142855
RUS,LVA,0.0026109660574412533
RUS,NLD,0.18803418803418803
RUS,NOR,0.01639344262295082
RUS,POL,0.006802721088435374
RUS,SGP,0.75
RUS,KOR,0.27586206896551724
RUS,ESP,0.015822784810126583
RUS,CHE,0.004739336492890996
RUS,THA,0.029850746268656716
RUS,ARE,0.007407407407407408
RUS,GBR,0.12605042016806722
RUS,USA,0.1787709497206704
SAU,FRA,0.2
SAU,DEU,0.3125
SAU,HKG,1
SAU,IND,0.06666666666666667
SAU,MYS,0.11764705882352941
SAU,NLD,0.46153846153846156
SAU,PHL,0.0196078431372549
SAU,ESP,0.4444444444444444
SAU,TUR,0.10416666666666667
SAU,ARE,0.16279069767441862
SAU,GBR,0.24528301886792453
SEN,BRA,1
SEN,FRA,0.18571428571428572
SEN,DEU,1
SEN,ARE,0.14285714285714285
SRB,FRA,0.023809523809523808
SRB,DEU,0.03902439024390244
SRB,NLD,0.01282051282051282
SGP,AUS,1
SGP,CHN,1
SGP,FRA,0.25
SGP,DEU,1
SGP,HKG,1
SGP,IND,0.46153846153846156
SGP,IDN,1
SGP,JPN,0.47368421052631576
SGP,MYS,0.8333333333333334
SGP,NLD,1
SGP,PHL,1
SGP,KOR,0.9230769230769231
SGP,CHE,0.36363636363636365
SGP,TWN,1
SGP,THA,1
SGP,ARE,1
SGP,GBR,1
SGP,USA,1
SVK,SWE,0.5
ZAF,BRA,0.058823529411764705
ZAF,FRA,0.030303030303030304
ZAF,HKG,0.1111111111111111
ZAF,NLD,0.47619047619047616
ZAF,QAT,0.0625
ZAF,SAU,0.5
ZAF,CHE,0.17857142857142858
ZAF,ARE,0.2441860465116279
ZAF,GBR,0.03305785123966942
ZAF,USA,0.046511627906976744
KOR,AUS,0.07352941176470588
KOR,AUT,0.7142857142857143
KOR,CHN,1
KOR,FRA,0.2
KOR,DEU,1
KOR,HKG,0.6442786069651741
KOR,IND,0.08
KOR,IDN,1
KOR,JPN,0.038869257950530034
KOR,MYS,0.03937007874015748
KOR,NLD,0.9473684210526315
KOR,NZL,0.06666666666666667
KOR,PHL,0.1443850267379679
KOR,QAT,0.05128205128205128
KOR,RUS,0.4189189189189189
KOR,SGP,1
KOR,TWN,0.688
KOR,THA,0.125
KOR,ARE,0.18
KOR,GBR,0.18
KOR,USA,1
ESP,ARG,0.10144927536231885
ESP,BEL,0.09216589861751152
ESP,BRA,0.02857142857142857
